Airport Code,Airport Name,City Name,coordinates
0,HNL,Honolulu International,Honolulu,"21.333333, -157.933333"
1,LBL,Municipal,Liberal,"37.05, -100.966667"
2,BGR,Bangor International Airport,Bangor,"44.8, -68.816667"
3,CWI,Clinton,Clinton,"41.833333, -90.35"
4,EGP,Maverick Co,Eagle Pass,"28.866667, -100.533333"
5,SQL,San Carlos,San Carlos,"37.483333, -122.25"
6,SXY,Sidney,Sidney,"42.316667, -75.4"
7,ZSH,Bus Station,Santa Fe,"1.366667, -77.033333"
8,ZBP,Baltimore Rail,Baltimore,"4.666667, -74.516667"
9,BOW,Bartow,Bartow,"27.933333, -81.783333"
10,JBP,Commerce Bus. Plaza,Los Angeles,"33.986667, -118.159722"
11,CRO,Corcoran,Corcoran,"36.1, -119.55"
12,LAW,Municipal,Lawton,"34.566667, -98.416667"
13,ECA,Emmet County Airport,East Tawas,"44.266667, -83.483333"
14,PVD,T. F. Green Airport,Providence,"41.733333, -71.433333"
15,EDW,Edwards AFB,Edwards AFB,"34.9, -117.883333"
16,CMH,Port Columbus Intl,Columbus,"40.0, -82.883333"
17,POY,Powell,Powell,"44.866667, -108.8"
18,OMK,Municipal,Omak,"48.4, -119.533333"
19,KEB,Nanwalek,Nanwalek,"59.366667, -151.916667"
20,TEK,Tatitlek,Tatitlek,"41.633333, 24.95"
21,GBD,Great Bend,Great Bend,"38.35, -98.866667"
22,FYM,Municipal,Fayetteville,"35.15, -86.583333"
23,KYK,Karluk,Karluk,"57.566667, -154.416667"
24,KLW,Klawock,Klawock,"55.55, -133.1"
25,LTH,Lathrop Wells,Lathrop Wells,"36.666667, -116.65"
26,DFW,Dallas/Fort Worth International,"Dallas, TX","32.896944, -97.038056"
27,DMN,Deming,Deming,"26.951667, 108.578889"
28,BIX,Keesler AFB,Biloxi,"28.666667, -88.433333"
29,TOR,Municipal,Torrington,"51.8, -1.6"
30,RKH,Rock Hill,Rock Hill,"34.933333, -81.016667"
31,TNT,Dade Collier,Miami,"25.861944, -80.896944"
32,IKB,Wilkes County,Wilkesboro,"36.166667, -81.15"
33,FEP,Albertus,Freeport,"42.266667, -89.583333"
34,FLE,Fort Lee AAF,Petersburg,"52.3, 5.833333"
35,JBS,Hacienda Bus.Park H/P,Pleasanton,"37.699722, -121.9"
36,BBD,Curtis Field,Brady,"31.133333, -99.333333"
37,TBC,Tuba City,Tuba City,"13.466667, -14.2"
38,JMS,Jamestown,Jamestown,"46.933333, -98.683333"
39,MCF,Mac Dill AFB,Tampa,"54.433333, 23.65"
40,PTB,Municipal,Petersburg,"37.183333, -77.516667"
41,EDK,El Dorado,El Dorado,"37.766667, -96.866667"
42,CSV,Memorial,Crossville,"35.95, -85.083333"
43,GRE,Municipal,Greenville,"38.883333, -89.416667"
44,HOB,Lea County,Hobbs,"32.683333, -103.216667"
45,EYW,International,Key West,"24.55, -81.766667"
46,MLT,Millinocket,Millinocket,"45.65, -68.7"
47,EMT,El Monte,El Monte,"34.1, -118.033333"
48,JIO,Intl Heliport,Ontario,"-11.283333, -74.433333"
49,LPS,Lopez Island,Lopez Island,"48.483333, -122.936111"
50,CEV,Mettle Field,Connersville,"39.633333, -85.133333"
51,OAK,Oakland International Airport,Oakland,"37.716667, -122.216667"
52,CZF,Cape Romanzof,Cape Romanzof,"61.733333, -166.0"
53,CNK,Blosser Municipal,Concordia,"39.55, -97.65"
54,HNC,Hatteras,Hatteras,"35.216667, -75.686111"
55,SOL,Solomon,Solomon,"64.583333, -164.3"
56,AHT,Amchitka,Amchitka,"51.5, 179.0"
57,AUS,Austin-bergstrom International,Austin,"30.194444, -97.67"
58,OXD,Miami University,Oxford,"45.733333, -63.866667"
59,RBY,Ruby,Ruby,"64.733333, -155.483333"
60,WSF,Sarichef,Sarichef,"31.1, -1.383333"
61,HAX,Hatbox Field,Muskogee,"35.745833, -95.412778"
62,HTW,Lawrence County Airpark,Chesapeake/Huntington Wv,"42.2525, -82.494444"
63,GAI,Montgomery County,Gaithersburg,"39.168333, -77.166111"
64,SMF,Sacramento International,"Sacramento, CA","38.7, -121.616667"
65,SKY,Griffing Sandusky,Sandusky,"41.433333, -82.7"
66,HDA,Hidden Falls,Hidden Falls,"57.066667, -134.983333"
67,GVT,Majors Field,Greenville,"33.133333, -96.116667"
68,GMV,Monument Valley,Monument Valley Gldngs,"-2.616667, 152.016667"
69,PFC,Pacific City State,"Pacific City, OH","45.199722, -123.962222"
70,NBP,Battery Pk City/N. Cov,New York,"5.5, -70.483333"
71,EFW,Municipal,Jefferson,"42.016667, -94.383333"
72,ZTD,Schenectady Rail,Schenectady,"50.35, 21.383333"
73,LUK,Cincinnati Municipal-Lunken Field,"Cincinnati, OH","39.103333, -84.418611"
74,CGF,Cuyahoga County,Cleveland,"41.5525, -81.483889"
75,SMD,Smith Field,"Fort Wayne, IN","41.143333, -85.152778"
76,STS,Sonoma County,Santa Rosa,"38.516667, -122.8"
77,QWG,Wilgrove Air Park,"Charlotte, NC","35.213889, -80.67"
78,LAS,Mc Carran Intl,Las Vegas,"36.083333, -115.166667"
79,LVM,Mission Field,Livingston,"45.666667, -110.566667"
80,RDU,Raleigh-durham International Airport,"Raleigh/Durham, NC","35.877778, -78.7875"
81,FFT,Capital City,"Frankfort, KY","38.198611, -84.906111"
82,SWD,Seward,Seward,"60.133333, -149.416667"
83,BDY,State,Bandon,"43.116667, -124.416667"
84,BNO,Burns,Burns,"43.583333, -118.95"
85,BJI,Bemidji,Bemidji,"47.516667, -94.933333"
86,GLQ,Glennallen,Glennallen,"62.116667, -145.55"
87,GWS,Glenwood Springs,Glenwood Springs,"-32.6, 27.55"
88,TWF,Joslin Field - Magic Valley Regional,"Twin Falls, ID","42.481667, -114.487778"
89,PEQ,Pecos City,Pecos City,"31.4, -103.516667"
90,ENW,Kenosha Regional Airport,Kenosha,"42.583333, -87.916667"
91,SLB,Municipal,Storm Lake,"42.6, -95.233333"
92,VDI,Municipal,Vidalia,"32.216667, -82.4"
93,IKO,Nikolski AFS,Nikolski,"52.95, -168.866667"
94,VCV,Southern California Logistics,"Victorville, CA","34.5975, -117.383056"
95,TKL,Taku SPB,Taku Lodge,"59.783333, -1.25"
96,JRA,West 30th St Heliport,New York,"40.754444, -74.0075"
97,FLJ,Falls Bay,Falls Bay,"60.0325, -148.008333"
98,HLC,Hill City,Hill City,"39.366667, -99.85"
99,AIO,Municipal,Atlantic,"41.4, -95.016667"
100,RBN,Fort Jefferson,Fort Jefferson,"19.833333, -72.5"
101,LIH,Lihue,Kauai Island,"21.983333, -159.35"
102,FRH,Municipal,French Lick,"38.55, -86.616667"
103,OLH,Old Harbor SPB,Old Harbor,"57.2, -153.316667"
104,AND,Anderson,Anderson,"34.5, -82.716667"
105,NRC,Aux Field,Crows Landing,"37.4, -121.066667"
106,BWG,Warren County,Bowling Green,"36.966667, -86.416667"
107,OKC,Will Rogers World Airport,Oklahoma City,"35.393056, -97.600833"
108,DWF,Wright AFB,Dayton,"46.233333, -83.333333"
109,AKI,Akiak,Akiak,"60.9, -161.233333"
110,CYS,Cheyenne,Cheyenne,"41.15, -104.8"
111,BET,Bethel Airport,Bethel,"60.783333, -161.833333"
112,BOS,Logan International,Boston,"42.363056, -71.0"
113,OGD,Municipal,Ogden,"41.2, -112.016667"
114,SRV,Stony River,Stony River,"61.783333, -156.583333"
115,BTM,Bert Mooney Airport,"Butte,","45.954722, -112.4975"
116,DEC,Decatur Arpt,Decatur,"39.833333, -88.866667"
117,JNP,Heliport,Newport Beach,"33.6, -117.883333"
118,GGW,International,Glasgow,"48.216667, -106.616667"
119,SLG,Smith Field,Siloam Springs,"36.183333, -94.533333"
120,CDR,Chadron,Chadron,"42.833333, -103.083333"
121,BGM,Greater Binghamton,"Binghamton, NY","42.208611, -75.979722"
122,MBY,Moberly,Moberly,"39.466667, -92.433333"
123,MHK,Municipal,Manhattan,"39.133333, -96.666667"
124,EOS,Neosho,Neosho,"36.866667, -94.366667"
125,ASQ,Austin,Austin,"39.5, -117.066667"
126,GRN,Gordon,Gordon,"42.8, -102.2"
127,INR,Kincheloe AFB,Sault Ste Marie,"45.85, 5.416667"
128,UMB,North Shore,Umnak Island,"53.366667, -167.9"
129,TWA,Twin Hills,Twin Hills,"46.266667, -1.85"
130,LAR,General Brees Field,Laramie,"41.316667, -105.666667"
131,RAC,Horlick,Racine,"42.757778, -87.820833"
132,PYM,Plymouth,Plymouth,"41.966667, -70.683333"
133,OSH,Wittman Field,Oshkosh,"43.983333, -88.55"
134,JFN,Ashtabula,Jefferson,"41.733333, -80.766667"
135,ZXS,Exchangest Railway Svc,Buffalo,"42.878333, -78.875278"
136,TOC,Toccoa,Toccoa,"42.216667, 13.9"
137,BNA,Nashville International,"Nashville, TN","36.124444, -86.678056"
138,ILN,Clinton Field,Wilmington,"39.416667, -83.8"
139,QNY,Marine Air Terminal,New York,"5.5, -70.483333"
140,MMI,McMinn County,Athens,"35.45, -84.6"
141,TVI,Municipal,Thomasville,"51.566667, 8.133333"
142,RTL,Spirit Lake,Spirit Lake,"43.416667, -95.1"
143,AGN,Angoon,Angoon,"57.5, -134.583333"
144,AUO,Auburn-Opelika,Auburn,"32.616667, -85.433333"
145,BVY,Beverly Municiple Airport,Beverly,"42.516667, -70.833333"
146,ADS,Addison Airport,Dallas,"32.968611, -96.836389"
147,FWH,Fort Worth NAS Jrb/Carswell Field,"Fort Worth, TX","32.769167, -97.441667"
148,FLV,Sherman AAF,Fort Leavenworth,"19.833333, -72.5"
149,EVV,Evansville Regional Airport,"Evansville, IN","38.036944, -87.5325"
150,HST,AFB,Homestead,"25.483333, -80.483333"
151,PCE,Painter Creek,Painter Creek,"47.8, 10.216667"
152,BLF,Princeton,Princeton,"37.3, -81.2"
153,RDM,Roberts Field,Redmond,"44.25, -121.15"
154,SUU,Travis AFB,Fairfield,"5.816667, -54.816667"
155,AIB,Anita Bay,Anita Bay,"56.233333, -132.383333"
156,BHB,Bar Harbor,Bar Harbor,"44.45, -68.366667"
