Port Name,Year,Month,total_crossings,State,Point,PortCode,total_crossings_normalized
Alcan,1996,January,2020,Alaska,-141.001444 62.614961,3104,0.0003937497490332664
Alcan,1996,February,1800,Alaska,-141.001444 62.614961,3104,0.0003508661129999403
Alcan,1996,March,2358,Alaska,-141.001444 62.614961,3104,0.0004596346080299218
Alcan,1996,April,4601,Alaska,-141.001444 62.614961,3104,0.0008968527699515142
Alcan,1996,May,10536,Alaska,-141.001444 62.614961,3104,0.0020537363147596507
Alcan,1996,June,33348,Alaska,-141.001444 62.614961,3104,0.0065003795201788945
Alcan,1996,July,39560,Alaska,-141.001444 62.614961,3104,0.007711257461265355
Alcan,1996,August,30454,Alaska,-141.001444 62.614961,3104,0.005936264780722324
Alcan,1996,September,13237,Alaska,-141.001444 62.614961,3104,0.0025802304098778944
Alcan,1996,October,2879,Alaska,-141.001444 62.614961,3104,0.0005611908551815712
Alcan,1996,November,2059,Alaska,-141.001444 62.614961,3104,0.0004013518481482651
Alcan,1996,December,1531,Alaska,-141.001444 62.614961,3104,0.0002984311216682826
Alcan,1997,January,1601,Alaska,-141.001444 62.614961,3104,0.0003120759149516136
Alcan,1997,February,1795,Alaska,-141.001444 62.614961,3104,0.0003498914849082738
Alcan,1997,March,2963,Alaska,-141.001444 62.614961,3104,0.0005775646071215684
Alcan,1997,April,4634,Alaska,-141.001444 62.614961,3104,0.000903285315356513
Alcan,1997,May,10583,Alaska,-141.001444 62.614961,3104,0.002062897818821316
Alcan,1997,June,32249,Alaska,-141.001444 62.614961,3104,0.006286156265630598
Alcan,1997,July,39337,Alaska,-141.001444 62.614961,3104,0.007667789048377029
Alcan,1997,August,25987,Alaska,-141.001444 62.614961,3104,0.005065532043627472
Alcan,1997,September,10781,Alaska,-141.001444 62.614961,3104,0.0021014930912513093
Alcan,1997,October,4841,Alaska,-141.001444 62.614961,3104,0.0009436349183515062
Alcan,1997,November,2314,Alaska,-141.001444 62.614961,3104,0.0004510578808232566
Alcan,1997,December,1862,Alaska,-141.001444 62.614961,3104,0.00036295150133660496
Alcan,1998,January,1403,Alaska,-141.001444 62.614961,3104,0.00027348064252162015
Alcan,1998,February,2068,Alaska,-141.001444 62.614961,3104,0.0004031061787132648
Alcan,1998,March,2816,Alaska,-141.001444 62.614961,3104,0.0005489105412265733
Alcan,1998,April,6564,Alaska,-141.001444 62.614961,3104,0.0012794917587397824
Alcan,1998,May,10450,Alaska,-141.001444 62.614961,3104,0.0020369727115829867
Alcan,1998,June,35166,Alaska,-141.001444 62.614961,3104,0.0068547542943088345
