usg_apt,Year,Month,total_passengers,flights_count,Airport Name,City Name,coordinates
ABE,1990,April,30,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1990,May,30,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1990,July,143,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1990,November,138,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1992,October,100,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1994,April,39,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1994,August,146,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1996,April,345,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1996,September,46,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1997,July,605,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1997,November,646,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1997,December,498,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1998,January,74,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1998,March,104,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1998,April,64,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1998,May,63,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1998,September,27,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1999,March,344,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1999,May,349,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1999,August,14,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,1999,December,28,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2000,January,12,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2001,September,149,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2002,December,20,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2003,August,116,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2003,September,47,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2003,October,492,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2003,November,321,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,January,878,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,February,1047,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,March,1190,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,April,1272,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,May,1283,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,June,1187,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,July,1501,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,August,1442,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,September,908,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,October,1312,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,November,1341,5,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2004,December,885,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,January,766,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,February,826,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,March,792,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,April,948,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,May,844,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,June,1579,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,July,1612,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,August,1655,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,September,1195,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,October,1071,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,November,1029,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2005,December,890,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,January,900,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,February,928,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,March,1102,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,April,1258,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,May,1434,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,June,1932,6,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,July,1876,5,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,August,1607,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,September,1489,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,October,1292,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,November,1318,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2006,December,1015,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,January,860,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,February,903,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,March,1015,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,April,1221,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,May,1867,5,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,June,1670,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,July,1534,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,August,1381,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,September,1385,5,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,October,1305,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,November,1299,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2007,December,674,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,January,736,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,February,704,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,March,1038,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,April,1382,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,May,1293,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,June,1708,9,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,July,1027,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,August,1053,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,September,1071,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,October,1011,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,November,1031,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2008,December,660,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,January,492,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,February,530,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,March,882,4,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,April,519,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,May,506,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,June,708,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,July,831,5,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,August,670,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,September,472,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,October,492,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,November,687,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2009,December,461,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,January,343,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,February,174,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,March,497,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,April,395,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,May,447,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,June,675,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,July,558,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,August,420,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,September,426,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,October,512,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,November,603,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2010,December,235,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,January,260,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,February,258,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,March,285,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,April,301,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,May,322,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,June,476,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,July,407,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,August,690,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,September,423,3,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,October,259,1,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,November,696,8,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2011,December,244,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
ABE,2012,January,246,2,Lehigh Valley International,Allentown,"40.652222, -75.440278"
