Year,Month,usg_apt,flights_count,total_passengers
1990,January,ACY,2,264
1990,January,ALB,2,144
1990,January,ANC,31,105006
1990,January,ATL,24,116415
1990,January,BDL,4,1871
1990,January,BGR,19,13743
1990,January,BHM,1,16
1990,January,BLI,1,66
1990,January,BNA,1,11353
1990,January,BOS,40,176371
1990,January,BTV,1,1
1990,January,BUF,6,10684
1990,January,BWI,17,34953
1990,January,CAE,1,66
1990,January,CHA,1,311
1990,January,CHS,3,365
1990,January,CLE,11,21135
1990,January,CLM,1,2935
1990,January,CLT,3,12497
1990,January,CVG,6,17634
1990,January,DAB,3,1152
1990,January,DCA,1,18
1990,January,DEN,11,25928
1990,January,DFW,32,200651
1990,January,DTW,22,98552
1990,January,ERI,1,3955
1990,January,EVV,1,101
1990,January,EWR,36,115000
1990,January,FAR,1,203
1990,January,FLL,29,121908
1990,January,FWA,1,688
1990,January,GEG,3,11934
1990,January,GSO,1,148
1990,January,GTF,2,160
1990,January,GUM,20,115282
1990,January,HNL,58,571560
1990,January,HRL,1,117
1990,January,IAD,17,80811
1990,January,IAG,2,115
1990,January,IAH,36,162379
1990,January,IND,10,4975
1990,January,JAX,1,221
1990,January,JFK,203,1113351
1990,January,JON,1,1414
1990,January,LAS,20,44592
1990,January,LAX,106,643628
1990,January,LBB,1,193
1990,January,LGA,9,97499
1990,January,MCI,1,1415
1990,January,MCO,42,80491
1990,January,MDW,1,4307
1990,January,MEM,2,3149
1990,January,MFE,1,3905
1990,January,MIA,160,851837
1990,January,MKE,4,6671
1990,January,MSP,26,63398
1990,January,MSY,12,14377
1990,January,OAK,3,926
1990,January,ORD,60,326586
1990,January,ORF,4,508
1990,January,PBI,6,10340
1990,January,PDX,6,21079
1990,January,PHL,18,38823
1990,January,PHX,10,8858
1990,January,PIE,6,22196
1990,January,PIT,9,11060
1990,January,PPG,5,6513
1990,January,PSP,7,6902
1990,January,RDU,3,10842
1990,January,RNO,12,20766
1990,January,ROC,5,12234
1990,January,ROR,2,3715
1990,January,RSW,4,7421
1990,January,SAN,1,4964
1990,January,SAT,7,15697
1990,January,SCK,1,3
1990,January,SEA,27,122068
1990,January,SFO,45,276947
1990,January,SJC,1,8869
1990,January,SJU,40,155251
1990,January,SLC,2,34427
1990,January,SMF,1,34
1990,January,SPN,10,70615
1990,January,SRQ,2,656
1990,January,STL,7,15820
1990,January,STT,1,776
1990,January,SYR,7,19401
1990,January,TPA,13,56343
1990,January,TUL,1,121
1990,January,TUS,3,8972
1990,February,ADW,1,826
1990,February,AGS,1,39
1990,February,ALB,1,78
1990,February,AMA,1,170
1990,February,ANC,28,131589
1990,February,ATL,23,101088
1990,February,AUS,1,83
1990,February,AZO,1,72
1990,February,BDL,8,3890
1990,February,BGR,12,6552
1990,February,BLI,1,58
1990,February,BNA,1,10806
1990,February,BOS,58,160793
1990,February,BTV,1,7
1990,February,BUF,6,11169
1990,February,BWI,13,32476
1990,February,CHS,2,732
1990,February,CLE,6,19308
1990,February,CLM,1,2796
1990,February,CLT,2,10163
1990,February,CMH,1,97
1990,February,CMI,1,667
1990,February,CVG,7,14510
1990,February,DAB,3,2206
1990,February,DEN,13,27361
1990,February,DFW,29,176802
1990,February,DTW,24,94683
1990,February,ERI,1,3440
1990,February,EWR,34,107713
1990,February,FAT,1,241
1990,February,FLL,30,114297
1990,February,FSD,1,89
1990,February,GEG,3,12588
1990,February,GRR,2,239
1990,February,GSO,1,163
1990,February,GTF,5,413
1990,February,GUM,20,115294
1990,February,HNL,57,467931
1990,February,IAD,23,66684
1990,February,IAH,37,140003
1990,February,IND,13,6103
1990,February,JFK,206,900291
1990,February,JON,1,963
1990,February,LAS,18,39530
1990,February,LAX,96,576187
1990,February,LBB,1,135
1990,February,LGA,7,100387
1990,February,MCI,1,1396
1990,February,MCO,48,80221
1990,February,MDW,1,4366
1990,February,MEM,2,2624
1990,February,MFE,1,3248
1990,February,MIA,157,730163
1990,February,MKE,7,7522
1990,February,MOT,1,85
1990,February,MSO,1,13
1990,February,MSP,30,79833
1990,February,MSY,9,12005
1990,February,NGU,1,100
1990,February,OAK,1,243
1990,February,OKC,1,127
1990,February,ORD,67,281766
1990,February,ORF,1,169
1990,February,PBI,4,12181
1990,February,PDX,10,20116
1990,February,PHL,29,45796
1990,February,PHX,11,11309
1990,February,PIE,7,19768
1990,February,PIT,9,11554
1990,February,PPG,4,4823
1990,February,PSP,7,7590
1990,February,RDU,5,10552
1990,February,RNO,12,16898
1990,February,ROC,3,10072
1990,February,ROR,3,3984
1990,February,RST,1,66
1990,February,RSW,4,8610
1990,February,SAN,1,3291
1990,February,SAT,7,12660
1990,February,SEA,22,95801
1990,February,SFB,1,77
1990,February,SFO,40,255300
1990,February,SJC,3,12959
1990,February,SJU,47,151441
1990,February,SKA,1,395
1990,February,SLC,5,37056
1990,February,SPN,11,71019
1990,February,SRQ,2,1640
1990,February,STL,8,14824
1990,February,STT,1,835
1990,February,SYR,6,19383
1990,February,TPA,20,73842
1990,February,TUS,3,8627
1990,February,TYS,1,150
1990,February,YKM,1,16
1990,March,ACY,2,137
1990,March,ALB,3,501
1990,March,AMA,1,345
1990,March,ANC,27,188608
1990,March,ATL,24,159855
1990,March,BDL,4,3671
1990,March,BGR,22,18842
1990,March,BIS,2,156
1990,March,BLI,1,41
1990,March,BNA,1,14679
1990,March,BOS,54,267872
1990,March,BUF,4,12902
1990,March,BWI,17,45261
1990,March,CHS,2,987
1990,March,CLE,11,25865
1990,March,CLM,1,3096
1990,March,CLT,5,17652
1990,March,CMH,2,577
1990,March,CVG,7,22554
1990,March,DAB,3,2599
1990,March,DAY,1,147
1990,March,DEN,14,36190
1990,March,DFW,30,234253
1990,March,DLH,1,63
1990,March,DSM,1,1412
1990,March,DTW,31,130214
1990,March,ERI,1,4930
1990,March,EWR,36,145028
1990,March,FAI,1,212
1990,March,FAR,2,176
1990,March,FLL,29,135442
1990,March,GEG,2,13093
1990,March,GRR,1,130
1990,March,GSO,1,232
1990,March,GTF,5,488
1990,March,GUM,19,113556
1990,March,HNL,57,480104
1990,March,HOU,2,1822
1990,March,IAD,16,121661
1990,March,IAH,34,188292
1990,March,IND,18,8446
1990,March,ISP,1,109
1990,March,JAX,2,719
1990,March,JFK,203,1301762
1990,March,JON,1,1214
1990,March,LAS,22,43728
1990,March,LAX,92,715975
1990,March,LBB,1,149
1990,March,LGA,8,124270
1990,March,LIT,1,150
1990,March,MCI,2,2320
1990,March,MCO,50,125629
1990,March,MDW,1,6400
1990,March,MEM,2,3012
1990,March,MFE,1,3861
1990,March,MIA,153,821463
1990,March,MKE,6,7106
1990,March,MOT,1,103
1990,March,MSP,32,90137
1990,March,MSY,11,14835
1990,March,ORD,62,409986
1990,March,ORF,2,297
1990,March,PBI,4,12674
1990,March,PDX,3,22702
1990,March,PHL,24,88715
1990,March,PHX,14,16540
1990,March,PIE,7,26670
1990,March,PIT,8,15499
1990,March,PPG,5,4198
1990,March,PSP,7,8898
1990,March,RDU,5,13447
1990,March,RNO,13,20699
1990,March,ROC,6,13347
1990,March,ROR,3,4623
1990,March,RSW,5,9822
1990,March,SAN,3,3302
1990,March,SAT,7,18039
1990,March,SAV,1,466
1990,March,SBN,1,107
1990,March,SDF,1,168
1990,March,SEA,21,142581
1990,March,SFO,41,314917
1990,March,SHV,1,127
1990,March,SJC,3,25193
1990,March,SJU,41,160227
1990,March,SLC,2,41114
1990,March,SPN,11,71842
1990,March,SRQ,2,2258
1990,March,STL,10,19886
1990,March,STT,1,806
1990,March,STX,1,145
1990,March,SYR,5,22371
1990,March,TPA,12,94094
1990,March,TUS,3,10692
1990,April,ABE,1,30
1990,April,ACY,2,565
1990,April,ADW,2,580
1990,April,ALB,1,183
1990,April,ANC,28,115596
1990,April,ATL,23,147621
1990,April,AUS,2,198
1990,April,BDL,4,2158
1990,April,BGR,21,34522
1990,April,BLI,1,28
1990,April,BNA,3,15836
1990,April,BOS,57,244692
1990,April,BUF,6,13633
1990,April,BWI,15,39191
1990,April,CAE,1,216
1990,April,CLE,8,24990
1990,April,CLM,1,2015
1990,April,CLT,3,16097
1990,April,CMH,1,123
1990,April,CVG,6,22802
1990,April,CWA,1,172
1990,April,DAB,3,2126
1990,April,DCA,1,92
1990,April,DEN,11,25449
1990,April,DFW,29,209888
1990,April,DTW,26,112901
1990,April,ERI,1,4766
1990,April,EWR,37,179506
1990,April,FLL,28,112272
1990,April,GEG,2,12302
1990,April,GSO,1,93
1990,April,GTF,2,164
1990,April,GUM,20,97863
1990,April,HNL,54,429627
1990,April,IAD,14,94185
1990,April,IAH,34,176376
1990,April,IND,13,4378
1990,April,JAX,1,367
1990,April,JFK,192,1239363
1990,April,JON,1,1025
1990,April,LAS,16,36708
1990,April,LAX,95,689335
1990,April,LGA,7,119192
1990,April,MAF,1,78
1990,April,MCI,2,1587
1990,April,MCO,55,109617
1990,April,MDW,1,6251
1990,April,MEM,2,2911
1990,April,MFE,1,4303
1990,April,MIA,145,787627
1990,April,MKE,4,6630
1990,April,MSP,24,56202
1990,April,MSY,13,16647
1990,April,MWH,1,415
1990,April,NCO,1,1353
1990,April,ORD,57,360096
1990,April,ORF,2,277
1990,April,PBI,4,5291
1990,April,PDX,5,20496
1990,April,PHL,20,70628
1990,April,PHX,14,12224
1990,April,PIE,5,24741
1990,April,PIT,4,10245
1990,April,PPG,4,3982
1990,April,PSP,6,2003
1990,April,RDU,6,18530
1990,April,RNO,10,17245
1990,April,ROC,3,14119
1990,April,ROR,3,4415
1990,April,RSW,5,9128
1990,April,SAN,1,4835
1990,April,SAT,6,17446
1990,April,SDF,1,134
1990,April,SEA,22,130174
1990,April,SFO,41,311968
1990,April,SJC,3,17207
1990,April,SJU,39,164127
1990,April,SLC,4,38011
1990,April,SPN,12,63877
1990,April,SRQ,1,1585
1990,April,STL,4,16193
1990,April,STT,1,745
1990,April,SWF,1,296
